customer_id,product_id,quantity,price,total_spent,date
C001,P1001,3,15.5,46.5,2025-01-02
C002,P1002,NA,22.0,NA,2025-01-03
C003,P1003,5,NA,NA,2025-01-04
C004,P1001,2,15.5,31.0,2025-01-05
C005,P1004,1,40,40,2025-01-06
C001,P1001,3,15.5,46.5,2025-01-02
C006,P1005,NA,55,NA,2025-01-07
C007,P1002,4,22.0,88.0,2025-01-08
C008,P1006,2,NA,NA,2025-01-08
C009,P1003,7,18.0,126.0,2025-01-09
C010,P1004,1,40,40,2025-01-09
C011,P1007,3,60,180,2025-01-10
C012,P1002,4,22.0,88.0,2025-01-11
C013,P1008,NA,75,NA,2025-01-11
C014,P1009,6,33.0,198.0,2025-01-12
C015,P1010,NA,90,NA,2025-01-12
C009,P1003,7,18.0,126.0,2025-01-09
C016,P1004,1,40,40,2025-01-13
C017,P1007,2,60,120,2025-01-13
C018,P1006,4,NA,NA,2025-01-14
C019,P1011,3,110,330,2025-01-14
C020,P1012,NA,130,NA,2025-01-15
C001,P1001,3,15.5,NA,2025-01-02
C021,P1003,5,18,90,2025-01-15
C022,P1005,NA,55,NA,2025-01-16
C023,P1010,2,90,180,2025-01-16
C024,P1013,8,150,1200,2025-01-17
C025,P1014,3,200,600,2025-01-17
C026,P1013,NA,150,NA,2025-01-17
C027,P1009,6,33,198,2025-01-18
,P1015,2,25,50,2025-01-19
C028,,4,30,120,2025-01-19
,P1016,NA,45,NA,2025-01-20
C029,,1,80,80,2025-01-20
,,3,100,300,2025-01-21
C030,P1017,5,20,100,2025-01-21
,P1018,NA,35,NA,2025-01-22
C031,,2,50,100,2025-01-22
C032,P1019,4,65,260,2025-01-23
,P1020,1,120,120,2025-01-23
C033,,NA,85,NA,2025-01-24
,,2,95,190,2025-01-24
C034,P1021,3,40,120,2025-01-25
